materials backflow_percent inlet_D angle inlet_V Density Viscosity
108 66.087671 0.8 0.7679 168.0 0.00106 0.004
109 60.772037 0.8 0.7679 134.8 0.00106 0.004
110 41.505517 0.8 0.7679 101.6 0.00106 0.004
111 0.057810486 0.8 0.7679 68.4 0.00106 0.004
112 78.385955 0.8 0.8378 500.0 0.00106 0.004
113 78.082495 0.8 0.8378 466.8 0.00106 0.004
114 77.743596 0.8 0.8378 433.6 0.00106 0.004
115 77.364797 0.8 0.8378 400.4 0.00106 0.004
116 76.805404 0.8 0.8378 367.2000000000001 0.00106 0.004
117 76.284651 0.8 0.8378 334.0 0.00106 0.004
118 75.697833 0.8 0.8378 300.8 0.00106 0.004
119 75.010905 0.8 0.8378 267.6 0.00106 0.004
120 74.084038 0.8 0.8378 234.4 0.00106 0.004
121 72.877451 0.8 0.8378 201.2 0.00106 0.004
122 70.888055 0.8 0.8378 168.0 0.00106 0.004
123 66.665035 0.8 0.8378 134.8 0.00106 0.004
124 54.060951 0.8 0.8378 101.6 0.00106 0.004
125 3.3926746 0.8 0.8378 68.4 0.00106 0.004
126 36.867637 1.1 0.2793 500.0 0.00106 0.004
127 35.914006 1.1 0.2793 466.8 0.00106 0.004
128 34.878426 1.1 0.2793 433.6 0.00106 0.004
129 33.606706 1.1 0.2793 400.4 0.00106 0.004
130 31.619234 1.1 0.2793 367.2000000000001 0.00106 0.004
131 29.222739 1.1 0.2793 334.0 0.00106 0.004
132 25.722931 1.1 0.2793 300.8 0.00106 0.004
133 21.728499 1.1 0.2793 267.6 0.00106 0.004
134 15.585915 1.1 0.2793 234.4 0.00106 0.004
135 9.6149889 1.1 0.2793 201.2 0.00106 0.004
136 4.8533372 1.1 0.2793 168.0 0.00106 0.004
137 0.0 1.1 0.2793 134.8 0.00106 0.004
138 0.0 1.1 0.2793 101.6 0.00106 0.004
139 0.0 1.1 0.2793 68.4 0.00106 0.004
140 46.593033 1.1 0.3491 500.0 0.00106 0.004
141 45.909635 1.1 0.3491 466.8 0.00106 0.004
142 45.158033 1.1 0.3491 433.6 0.00106 0.004
143 44.305859 1.1 0.3491 400.4 0.00106 0.004
144 43.292559 1.1 0.3491 367.2000000000001 0.00106 0.004
145 42.106461 1.1 0.3491 334.0 0.00106 0.004
146 40.366265 1.1 0.3491 300.8 0.00106 0.004
147 37.806493 1.1 0.3491 267.6 0.00106 0.004
148 33.840506 1.1 0.3491 234.4 0.00106 0.004
149 26.656639 1.1 0.3491 201.2 0.00106 0.004
150 16.954648 1.1 0.3491 168.0 0.00106 0.004
151 7.091178 1.1 0.3491 134.8 0.00106 0.004
152 0.0 1.1 0.3491 101.6 0.00106 0.004
153 0.0 1.1 0.3491 68.4 0.00106 0.004
154 53.799542 1.1 0.4189 500.0 0.00106 0.004
155 53.327008 1.1 0.4189 466.8 0.00106 0.004
156 52.83568 1.1 0.4189 433.6 0.00106 0.004
157 52.161474 1.1 0.4189 400.4 0.00106 0.004
158 51.414398 1.1 0.4189 367.2000000000001 0.00106 0.004
159 50.630469 1.1 0.4189 334.0 0.00106 0.004
160 49.608767 1.1 0.4189 300.8 0.00106 0.004
161 47.997091 1.1 0.4189 267.6 0.00106 0.004
162 45.519261 1.1 0.4189 234.4 0.00106 0.004
163 41.602644 1.1 0.4189 201.2 0.00106 0.004
164 33.471468 1.1 0.4189 168.0 0.00106 0.004
165 19.638203 1.1 0.4189 134.8 0.00106 0.004
166 4.9953667 1.1 0.4189 101.6 0.00106 0.004
167 0.0 1.1 0.4189 68.4 0.00106 0.004
168 59.7679 1.1 0.4887 500.0 0.00106 0.004
169 59.341307 1.1 0.4887 466.8 0.00106 0.004
170 58.894299 1.1 0.4887 433.6 0.00106 0.004
171 58.334337 1.1 0.4887 400.4 0.00106 0.004
172 57.708186 1.1 0.4887 367.2000000000001 0.00106 0.004
173 56.993498 1.1 0.4887 334.0 0.00106 0.004
174 56.16484 1.1 0.4887 300.8 0.00106 0.004
175 55.113832 1.1 0.4887 267.6 0.00106 0.004
176 53.548681 1.1 0.4887 234.4 0.00106 0.004
177 50.878553 1.1 0.4887 201.2 0.00106 0.004
178 46.57344 1.1 0.4887 168.0 0.00106 0.004
179 35.185121 1.1 0.4887 134.8 0.00106 0.004
180 15.120148 1.1 0.4887 101.6 0.00106 0.004
181 0.0 1.1 0.4887 68.4 0.00106 0.004
182 64.545084 1.1 0.5585 500.0 0.00106 0.004
183 64.217232 1.1 0.5585 466.8 0.00106 0.004
184 63.807879 1.1 0.5585 433.6 0.00106 0.004
185 63.297665 1.1 0.5585 400.4 0.00106 0.004
186 62.772819 1.1 0.5585 367.2000000000001 0.00106 0.004
187 62.277352 1.1 0.5585 334.0 0.00106 0.004
188 61.582868 1.1 0.5585 300.8 0.00106 0.004
189 60.65845 1.1 0.5585 267.6 0.00106 0.004
190 59.423844 1.1 0.5585 234.4 0.00106 0.004
191 57.397627 1.1 0.5585 201.2 0.00106 0.004
192 54.510405 1.1 0.5585 168.0 0.00106 0.004
193 48.306852 1.1 0.5585 134.8 0.00106 0.004
194 27.194872 1.1 0.5585 101.6 0.00106 0.004
195 0.02061246 1.1 0.5585 68.4 0.00106 0.004
196 68.384951 1.1 0.6283 500.0 0.00106 0.004
197 68.101595 1.1 0.6283 466.8 0.00106 0.004
198 67.738598 1.1 0.6283 433.6 0.00106 0.004
199 67.452322 1.1 0.6283 400.4 0.00106 0.004
200 66.985738 1.1 0.6283 367.2000000000001 0.00106 0.004
201 66.475321 1.1 0.6283 334.0 0.00106 0.004
202 65.783631 1.1 0.6283 300.8 0.00106 0.004
203 64.717968 1.1 0.6283 267.6 0.00106 0.004
204 63.836578 1.1 0.6283 234.4 0.00106 0.004
205 62.377421 1.1 0.6283 201.2 0.00106 0.004
206 60.286996 1.1 0.6283 168.0 0.00106 0.004
207 56.089209 1.1 0.6283 134.8 0.00106 0.004
208 42.603033 1.1 0.6283 101.6 0.00106 0.004
209 5.988639 1.1 0.6283 68.4 0.00106 0.004
210 72.812741 1.1 0.6981 500.0 0.00106 0.004
211 72.512756 1.1 0.6981 466.8 0.00106 0.004
212 72.169431 1.1 0.6981 433.6 0.00106 0.004
213 71.788721 1.1 0.6981 400.4 0.00106 0.004
214 71.390588 1.1 0.6981 367.2000000000001 0.00106 0.004
