materials Del_P Pipe_D angle Inlet_V Density Viscosity "Elbow angle"
89 1.0646 0.024 0.4189 0.016 998.0 0.0009737 24.0
90 1.5652206 0.024 0.6283 0.02 998.0 0.0009737 36.0
91 1.4719284 0.024 0.6283 0.019 998.0 0.0009737 36.0
92 1.3798961 0.024 0.6283 0.018 998.0 0.0009737 36.0
93 1.2891119 0.024 0.6283 0.017 998.0 0.0009737 36.0
94 1.1995875 0.024 0.6283 0.016 998.0 0.0009737 36.0
95 1.7796605 0.024 0.8378 0.02 998.0 0.0009737 48.0
96 1.6679791 0.024 0.8378 0.019 998.0 0.0009737 48.0
97 1.5584704 0.024 0.8378 0.018 998.0 0.0009737 48.0
98 1.4509498 0.024 0.8378 0.017 998.0 0.0009737 48.0
99 1.3453699 0.024 0.8378 0.016 998.0 0.0009737 48.0
100 0.68240659 0.0304 0.0175 0.02 998.0 0.0009737 1.0
101 0.64801141 0.0304 0.0175 0.019 998.0 0.0009737 1.0
102 0.613627 0.0304 0.0175 0.018 998.0 0.0009737 1.0
103 0.57926927 0.0304 0.0175 0.017 998.0 0.0009737 1.0
104 0.544939 0.0304 0.0175 0.016 998.0 0.0009737 1.0
105 0.77711639 0.0304 0.2094 0.02 998.0 0.0009737 12.0
106 0.73437005 0.0304 0.2094 0.019 998.0 0.0009737 12.0
107 0.69188609 0.0304 0.2094 0.018 998.0 0.0009737 12.0
108 0.6497127 0.0304 0.2094 0.017 998.0 0.0009737 12.0
109 0.60788972 0.0304 0.2094 0.016 998.0 0.0009737 12.0
110 0.87353807 0.0304 0.4189 0.02 998.0 0.0009737 24.0
111 0.82489692 0.0304 0.4189 0.019 998.0 0.0009737 24.0
112 0.77677768 0.0304 0.4189 0.018 998.0 0.0009737 24.0
113 0.72914923 0.0304 0.4189 0.017 998.0 0.0009737 24.0
114 0.68198266 0.0304 0.4189 0.016 998.0 0.0009737 24.0
115 1.0342419 0.0304 0.6283 0.02 998.0 0.0009737 36.0
116 0.97069619 0.0304 0.6283 0.019 998.0 0.0009737 36.0
117 0.90842595 0.0304 0.6283 0.018 998.0 0.0009737 36.0
118 0.84741716 0.0304 0.6283 0.017 998.0 0.0009737 36.0
119 0.78756329 0.0304 0.6283 0.016 998.0 0.0009737 36.0
120 1.1977523 0.0304 0.8378 0.02 998.0 0.0009737 48.0
121 1.1194901 0.0304 0.8378 0.019 998.0 0.0009737 48.0
122 1.0431921 0.0304 0.8378 0.018 998.0 0.0009737 48.0
123 0.9689355 0.0304 0.8378 0.017 998.0 0.0009737 48.0
124 0.89655778 0.0304 0.8378 0.016 998.0 0.0009737 48.0
125 0.46786673 0.0367 0.0175 0.02 998.0 0.0009737 1.0
126 0.44425511 0.0367 0.0175 0.019 998.0 0.0009737 1.0
127 0.42065523 0.0367 0.0175 0.018 998.0 0.0009737 1.0
128 0.39707609 0.0367 0.0175 0.017 998.0 0.0009737 1.0
129 0.37351775 0.0367 0.0175 0.016 998.0 0.0009737 1.0
130 0.54196012 0.0367 0.2094 0.02 998.0 0.0009737 12.0
131 0.51208409 0.0367 0.2094 0.019 998.0 0.0009737 12.0
132 0.48237585 0.0367 0.2094 0.018 998.0 0.0009737 12.0
133 0.45288063 0.0367 0.2094 0.017 998.0 0.0009737 12.0
134 0.42359714 0.0367 0.2094 0.016 998.0 0.0009737 12.0
135 0.61317417 0.0367 0.4189 0.02 998.0 0.0009737 24.0
136 0.57819077 0.0367 0.4189 0.019 998.0 0.0009737 24.0
137 0.54374438 0.0367 0.4189 0.018 998.0 0.0009737 24.0
138 0.50977994 0.0367 0.4189 0.017 998.0 0.0009737 24.0
139 0.4763484 0.0367 0.4189 0.016 998.0 0.0009737 24.0
140 0.7391926 0.0367 0.6283 0.02 998.0 0.0009737 36.0
141 0.6925718 0.0367 0.6283 0.019 998.0 0.0009737 36.0
142 0.64719892 0.0367 0.6283 0.018 998.0 0.0009737 36.0
143 0.60286588 0.0367 0.6283 0.017 998.0 0.0009737 36.0
144 0.55951006 0.0367 0.6283 0.016 998.0 0.0009737 36.0
145 0.87082713 0.0367 0.8378 0.02 998.0 0.0009737 48.0
146 0.81209553 0.0367 0.8378 0.019 998.0 0.0009737 48.0
147 0.75511202 0.0367 0.8378 0.018 998.0 0.0009737 48.0
148 0.6997206 0.0367 0.8378 0.017 998.0 0.0009737 48.0
149 0.64598547 0.0367 0.8378 0.016 998.0 0.0009737 48.0
150 0.34107169 0.043 0.0175 0.02 998.0 0.0009737 1.0
151 0.32384799 0.043 0.0175 0.019 998.0 0.0009737 1.0
152 0.30662609 0.043 0.0175 0.018 998.0 0.0009737 1.0
153 0.28942036 0.043 0.0175 0.017 998.0 0.0009737 1.0
154 0.27223248 0.043 0.0175 0.016 998.0 0.0009737 1.0
155 0.40176615 0.043 0.2094 0.02 998.0 0.0009737 12.0
156 0.3795421 0.043 0.2094 0.019 998.0 0.0009737 12.0
157 0.35746657 0.043 0.2094 0.018 998.0 0.0009737 12.0
158 0.33554339 0.043 0.2094 0.017 998.0 0.0009737 12.0
159 0.31377277 0.043 0.2094 0.016 998.0 0.0009737 12.0
160 0.45857586 0.043 0.4189 0.02 998.0 0.0009737 24.0
161 0.4315132 0.043 0.4189 0.019 998.0 0.0009737 24.0
162 0.40500856 0.043 0.4189 0.018 998.0 0.0009737 24.0
163 0.3790934 0.043 0.4189 0.017 998.0 0.0009737 24.0
164 0.35370997 0.043 0.4189 0.016 998.0 0.0009737 24.0
165 0.56391826 0.043 0.6283 0.02 998.0 0.0009737 36.0
166 0.52732259 0.043 0.6283 0.019 998.0 0.0009737 36.0
167 0.49160398 0.043 0.6283 0.018 998.0 0.0009737 36.0
168 0.45680475 0.043 0.6283 0.017 998.0 0.0009737 36.0
169 0.42301983 0.043 0.6283 0.016 998.0 0.0009737 36.0
170 0.67409585 0.043 0.8378 0.02 998.0 0.0009737 48.0
171 0.62733264 0.043 0.8378 0.019 998.0 0.0009737 48.0
172 0.58200377 0.043 0.8378 0.018 998.0 0.0009737 48.0
173 0.53796182 0.043 0.8378 0.017 998.0 0.0009737 48.0
174 0.49543308 0.043 0.8378 0.016 998.0 0.0009737 48.0
175 0.26013949 0.0493 0.0175 0.02 998.0 0.0009737 1.0
176 0.24698587 0.0493 0.0175 0.019 998.0 0.0009737 1.0
177 0.2338314 0.0493 0.0175 0.018 998.0 0.0009737 1.0
178 0.22069117 0.0493 0.0175 0.017 998.0 0.0009737 1.0
179 0.20756701 0.0493 0.0175 0.016 998.0 0.0009737 1.0
180 0.30938533 0.0493 0.2094 0.02 998.0 0.0009737 12.0
181 0.29233758 0.0493 0.2094 0.019 998.0 0.0009737 12.0
182 0.27536679 0.0493 0.2094 0.018 998.0 0.0009737 12.0
183 0.25851833 0.0493 0.2094 0.017 998.0 0.0009737 12.0
184 0.24176386 0.0493 0.2094 0.016 998.0 0.0009737 12.0
185 0.35944145 0.0493 0.4189 0.02 998.0 0.0009737 24.0
186 0.33723256 0.0493 0.4189 0.019 998.0 0.0009737 24.0
187 0.31574969 0.0493 0.4189 0.018 998.0 0.0009737 24.0
188 0.29491918 0.0493 0.4189 0.017 998.0 0.0009737 24.0
189 0.27458963 0.0493 0.4189 0.016 998.0 0.0009737 24.0
190 0.44797492 0.0493 0.6283 0.02 998.0 0.0009737 36.0
191 0.41860301 0.0493 0.6283 0.019 998.0 0.0009737 36.0
192 0.38974316 0.0493 0.6283 0.018 998.0 0.0009737 36.0
193 0.36155031 0.0493 0.6283 0.017 998.0 0.0009737 36.0
194 0.33410418 0.0493 0.6283 0.016 998.0 0.0009737 36.0
195 0.54265468 0.0493 0.8378 0.02 998.0 0.0009737 48.0
196 0.50450215 0.0493 0.8378 0.019 998.0 0.0009737 48.0
197 0.46730902 0.0493 0.8378 0.018 998.0 0.0009737 48.0
198 0.43114099 0.0493 0.8378 0.017 998.0 0.0009737 48.0
199 0.39624198 0.0493 0.8378 0.016 998.0 0.0009737 48.0
200 0.20438557 0.0557 0.0175 0.02 998.0 0.0009737 1.0
201 0.19404824 0.0557 0.0175 0.019 998.0 0.0009737 1.0
202 0.1837077 0.0557 0.0175 0.018 998.0 0.0009737 1.0
203 0.17337886 0.0557 0.0175 0.017 998.0 0.0009737 1.0
204 0.16306304 0.0557 0.0175 0.016 998.0 0.0009737 1.0
205 0.24623326 0.0557 0.2094 0.02 998.0 0.0009737 12.0
206 0.23269415 0.0557 0.2094 0.019 998.0 0.0009737 12.0
207 0.21917217 0.0557 0.2094 0.018 998.0 0.0009737 12.0
208 0.20573237 0.0557 0.2094 0.017 998.0 0.0009737 12.0
209 0.19238656 0.0557 0.2094 0.016 998.0 0.0009737 12.0
210 0.2921583 0.0557 0.4189 0.02 998.0 0.0009737 24.0
211 0.2733578 0.0557 0.4189 0.019 998.0 0.0009737 24.0
212 0.25519507 0.0557 0.4189 0.018 998.0 0.0009737 24.0
213 0.2376149 0.0557 0.4189 0.017 998.0 0.0009737 24.0
214 0.22067232 0.0557 0.4189 0.016 998.0 0.0009737 24.0
215 0.36552123 0.0557 0.6283 0.02 998.0 0.0009737 36.0
216 0.34238526 0.0557 0.6283 0.019 998.0 0.0009737 36.0
217 0.3193472 0.0557 0.6283 0.018 998.0 0.0009737 36.0
218 0.29653759 0.0557 0.6283 0.017 998.0 0.0009737 36.0
219 0.27404974 0.0557 0.6283 0.016 998.0 0.0009737 36.0
220 0.44816782 0.0557 0.8378 0.02 998.0 0.0009737 48.0
221 0.41703715 0.0557 0.8378 0.019 998.0 0.0009737 48.0
222 0.38620455 0.0557 0.8378 0.018 998.0 0.0009737 48.0
223 0.35608135 0.0557 0.8378 0.017 998.0 0.0009737 48.0
224 0.32673574 0.0557 0.8378 0.016 998.0 0.0009737 48.0
225 0.16509029 0.062 0.0175 0.02 998.0 0.0009737 1.0
226 0.15673412 0.062 0.0175 0.019 998.0 0.0009737 1.0
227 0.14837378 0.062 0.0175 0.018 998.0 0.0009737 1.0
228 0.14002337 0.062 0.0175 0.017 998.0 0.0009737 1.0
229 0.13168467 0.062 0.0175 0.016 998.0 0.0009737 1.0
230 0.20099243 0.062 0.2094 0.02 998.0 0.0009737 12.0
231 0.19014802 0.062 0.2094 0.019 998.0 0.0009737 12.0
232 0.17923467 0.062 0.2094 0.018 998.0 0.0009737 12.0
233 0.16828977 0.062 0.2094 0.017 998.0 0.0009737 12.0
234 0.15736155 0.062 0.2094 0.016 998.0 0.0009737 12.0
235 0.24366222 0.062 0.4189 0.02 998.0 0.0009737 24.0
236 0.22775415 0.062 0.4189 0.019 998.0 0.0009737 24.0
237 0.21217948 0.062 0.4189 0.018 998.0 0.0009737 24.0
238 0.19702828 0.062 0.4189 0.017 998.0 0.0009737 24.0
239 0.18244416 0.062 0.4189 0.016 998.0 0.0009737 24.0
240 0.30450408 0.062 0.6283 0.02 998.0 0.0009737 36.0
241 0.28503671 0.062 0.6283 0.019 998.0 0.0009737 36.0
242 0.26561609 0.062 0.6283 0.018 998.0 0.0009737 36.0
243 0.24638872 0.062 0.6283 0.017 998.0 0.0009737 36.0
244 0.22744694 0.062 0.6283 0.016 998.0 0.0009737 36.0
245 0.37620872 0.062 0.8378 0.02 998.0 0.0009737 48.0
246 0.35079196 0.062 0.8378 0.019 998.0 0.0009737 48.0
247 0.32557261 0.062 0.8378 0.018 998.0 0.0009737 48.0
248 0.30046793 0.062 0.8378 0.017 998.0 0.0009737 48.0
249 0.27565751 0.062 0.8378 0.016 998.0 0.0009737 48.0
